엽종분류,업종명,영업자시작일,업소명,소재지도로명주소,소재지지번주소,전화번호,데이터기준일자
일반음식점,일반음식점,2011-02-09,더찜,"광주광역시 동구 구성로152번길 20, 1층 (호남동)",광주광역시 동구 호남동 3-7 1층 ,062-232-3737,2020-09-18
휴게음식점,휴게음식점,2011-02-21,미니스톱금남평화점,"광주광역시 동구 중앙로196번길 15-4 (궁동,(1층))",광주광역시 동구 궁동 55-2 (1층) ,,2020-09-18
일반음식점,일반음식점,2011-02-24,귀향정,광주광역시 동구 참판로26번길 21 (계림동),광주광역시 동구 계림동 1649 ,062-522-2743,2020-09-18
일반음식점,일반음식점,2011-02-24,난타5000조대점,"광주광역시 동구 필문대로273번길 4 (동명동,(1층))",광주광역시 동구 동명동 118-15 (1층) ,062-222-5020,2020-09-18
일반음식점,일반음식점,2011-03-04,구이구이,광주광역시 동구 중앙로196번길 23 (궁동),광주광역시 동구 궁동 49 ,062-227-5885,2020-09-18
일반음식점,일반음식점,2011-03-04,다즐링,"광주광역시 동구 금남로 161-9 (금남로5가,(1층))",광주광역시 동구 금남로5가 30 (1층) ,062-223-3996,2020-09-18
일반음식점,일반음식점,2011-03-07,병원입구식당,"광주광역시 동구 남문로 746, 1층 (학동)",광주광역시 동구 학동 618-9 (1층) ,062-232-3329,2020-09-18
휴게음식점,휴게음식점,2011-03-16,엔스엔유,"광주광역시 동구 독립로 268, 지하2층 (대인동)",광주광역시 동구 대인동 7-1 (지하2층) ,,2020-09-18
제과점영업,제과점영업,2011-03-21,궁전제과,"광주광역시 동구 충장로 93-6 (충장로1가,(1,2층))","광주광역시 동구 충장로1가 1-9 (1,2층) ",062-222-3477,2020-09-18
일반음식점,일반음식점,2011-03-24,등뼈,"광주광역시 동구 무등로 508 (산수동,(1층))",광주광역시 동구 산수동 510-12 (1층) ,,2020-09-18
일반음식점,일반음식점,2011-03-25,고려조삼계탕,"광주광역시 동구 금남로 231 (금남로2가,(점포21개))",광주광역시 동구 금남로2가 7-1 (점포21개) ,062-224-2525,2020-09-18
일반음식점,일반음식점,2011-03-25,동산마을,"광주광역시 동구 필문대로205번길 44, 1층 (지산동)",광주광역시 동구 지산동 705-13 1층 ,,2020-09-18
일반음식점,일반음식점,2011-03-25,오복,"광주광역시 동구 무등로375번길 30 (계림동,(1층))",광주광역시 동구 계림동 1110 (1층) ,,2020-09-18
일반음식점,일반음식점,2011-04-06,스시오,"광주광역시 동구 서석로 35-1 (황금동,(2층))",광주광역시 동구 황금동 77-1 (2층) ,,2020-09-18
일반음식점,일반음식점,2011-04-06,전통소머리국밥,"광주광역시 동구 제봉로17번길 1 (학동,(1층))",광주광역시 동구 학동 61-10 (1층) ,,2020-09-18
일반음식점,일반음식점,2011-04-07,문(MOOn),"광주광역시 동구 백서로 175, 1층 (서석동)",광주광역시 동구 서석동 96-3 (1층) ,062-232-9670,2020-09-18
일반음식점,일반음식점,2011-04-11,산수모밀,"광주광역시 동구 중앙로196번길 32 (금남로2가,(1층))",광주광역시 동구 금남로2가 15 (1층) ,,2020-09-18
일반음식점,일반음식점,2011-04-18,일박이일,"광주광역시 동구 무등로 491-2 (산수동,(1층))",광주광역시 동구 산수동 526-27 (1층) ,,2020-09-18
일반음식점,일반음식점,2011-05-06,에스프레소렉,"광주광역시 동구 지산로 31-1 (지산동,(1층))",광주광역시 동구 지산동 486-3 (1층) ,,2020-09-18
일반음식점,일반음식점,2011-05-16,영자네,"광주광역시 동구 밤실로 23, 1층 (지산동)",광주광역시 동구 지산동 708-1 1층 ,062-223-6269,2020-09-18
휴게음식점,휴게음식점,2011-05-17,ORG COFFEE(오알지 카페),"광주광역시 동구 금남로 160 (금남로5가,(1층))",광주광역시 동구 금남로5가 61-3 (1층) ,,2020-09-18
일반음식점,일반음식점,2011-05-24,김가네,광주광역시 동구 필문대로273번길 17 (지산동),광주광역시 동구 지산동 521-3 ,062-232-3045,2020-09-18
일반음식점,일반음식점,2011-05-25,오! 파바로티,"광주광역시 동구 구성로194번길 9, 2층 (대인동)",광주광역시 동구 대인동 103-1 ,062-229-3843,2020-09-18
일반음식점,일반음식점,2011-06-13,신똑순이아구찜,,광주광역시 동구 학동 719-21 (1층) ,,2020-09-18
일반음식점,일반음식점,2011-06-20,통큰국밥,"광주광역시 동구 충장로58번길 18-2 (충장로4가,(1층))",광주광역시 동구 충장로4가 30-6 (1층) ,,2020-09-18
일반음식점,일반음식점,2011-06-29,화순식당,,광주광역시 동구 학동 55-12 (1층) ,062-232-4310,2020-09-18
일반음식점,일반음식점,2011-06-30,절라도땅,"광주광역시 동구 금남로 161-12 (금남로5가,(1층))",광주광역시 동구 금남로5가 16 (1층) ,062-236-3304,2020-09-18
일반음식점,일반음식점,2011-06-30,학동단호박죽,"광주광역시 동구 의재로 36-1, 1층 (학동)",광주광역시 동구 학동 732-5 ,062-433-4913,2020-09-18
일반음식점,일반음식점,2011-07-01,풍류,"광주광역시 동구 필문대로205번길 40-1 (지산동,(1층))",광주광역시 동구 지산동 342-101 (1층) ,,2020-09-18
일반음식점,일반음식점,2011-07-08,나주곰탕,"광주광역시 동구 제봉로98번길 1 (서석동,(1층))",광주광역시 동구 서석동 45-10 (1층) ,,2020-09-18
일반음식점,일반음식점,2011-07-20,학동김밥,"광주광역시 동구 남문로 683 (학동,(1층))",광주광역시 동구 학동 868-7 (1층) ,,2020-09-18
일반음식점,일반음식점,2011-07-29,고흥장어나라,광주광역시 동구 필문대로191번길 5-10 (산수동),광주광역시 동구 산수동 518-19 ,062-223-9609,2020-09-18
일반음식점,일반음식점,2011-07-29,동구밖에서,"광주광역시 동구 백서로189번길 12 (서석동,(1층))",광주광역시 동구 서석동 28 (1층) ,062-227-7508,2020-09-18
일반음식점,일반음식점,2011-08-01,비엔나1,"광주광역시 동구 구성로194번길 8 (금남로5가,(1층))",광주광역시 동구 금남로5가 183-2 (1층) ,062-223-5975,2020-09-18
일반음식점,일반음식점,2011-08-10,케이피라인(k.p line),"광주광역시 동구 천변우로 363-21 (호남동,(1층))",광주광역시 동구 호남동 3-8 (1층) ,062-234-9257,2020-09-18
일반음식점,일반음식점,2011-08-10,김가네,광주광역시 동구 중앙로160번길 15-7 (황금동),광주광역시 동구 황금동 19 ,062-225-9678,2020-09-18
일반음식점,일반음식점,2011-08-11,레알,"광주광역시 동구 제봉로 140 (장동,(1층))",광주광역시 동구 장동 53-3 (1층) ,,2020-09-18
휴게음식점,휴게음식점,2011-08-11,씨유 동명중앙점,"광주광역시 동구 동계천로 143 (동명동,(1층))",광주광역시 동구 동명동 154-73 (1층) ,,2020-09-18
일반음식점,일반음식점,2011-08-12,창평국밥,"광주광역시 동구 필문대로287번길 18-1 (서석동,(1층))",광주광역시 동구 서석동 422-19 (1층) ,,2020-09-18
휴게음식점,휴게음식점,2011-08-29,cafe illouis(카페일루이스),"광주광역시 동구 금남로 161-42, 1층 (금남로5가)",광주광역시 동구 금남로5가 74-5 1층 ,,2020-09-18
일반음식점,일반음식점,2011-09-06,굴마을,광주광역시 동구 제봉로82번길 3 (서석동),광주광역시 동구 서석동 50-6 ,062-225-2453,2020-09-18
일반음식점,일반음식점,2011-09-07,마당쇠,"광주광역시 동구 필문대로287번길 16 (서석동,(1층))",광주광역시 동구 서석동 422-11 (1층) ,,2020-09-18
일반음식점,일반음식점,2011-09-09,3.14,광주광역시 동구 서석로85번길 8 (대의동),광주광역시 동구 대의동 6-3 ,062-232-5251,2020-09-18
일반음식점,일반음식점,2011-09-09,The참치,광주광역시 동구 밤실로 152-1 (산수동),광주광역시 동구 산수동 685 ,0622-5155-31,2020-09-18
제과점영업,제과점영업,2011-09-28,파리바게트 서석점,광주광역시 동구 제봉로 84 (서석동),광주광역시 동구 서석동 50-4 ,062-233-8201,2020-09-18
휴게음식점,휴게음식점,2011-10-05,(주)이화원,광주광역시 동구 서석로 51 (금남로1가),광주광역시 동구 금남로1가 15-11 ,062-232-9700,2020-09-18
휴게음식점,휴게음식점,2011-10-10,주먹밥 이야기,"광주광역시 동구 천변좌로604번길 9 (소태동,(1층))",광주광역시 동구 소태동 951 (1층) ,062-651-2060,2020-09-18
일반음식점,일반음식점,2011-10-11,커피베스코,"광주광역시 동구 충장로 80-5 (충장로2가,(3층))",광주광역시 동구 충장로2가 28 (3층) ,062-227-3838,2020-09-18
일반음식점,일반음식점,2011-10-17,한강식당,광주광역시 동구 백서로175번길 20-5 (서석동),광주광역시 동구 서석동 91-17 ,062-225-1462,2020-09-18
일반음식점,일반음식점,2011-10-17,소문난오돌뼈막창구이,"광주광역시 동구 남문로 602 (소태동,(1층))",광주광역시 동구 소태동 657-3 (1층) ,062-234-8754,2020-09-18
일반음식점,일반음식점,2011-10-19,금향,광주광역시 동구 중앙로272번길 4 (계림동),광주광역시 동구 계림동 236-7 ,062-224-1214,2020-09-18
일반음식점,일반음식점,2011-10-19,이야호,"광주광역시 동구 지산로 41 (지산동,(1층))",광주광역시 동구 지산동 462-20 (1층) ,,2020-09-18
휴게음식점,휴게음식점,2011-10-24,횡금손왕만두,"광주광역시 동구 의재로 28 (학동,(1층))",광주광역시 동구 학동 734-1 (1층) ,062-234-5553,2020-09-18
일반음식점,일반음식점,2011-10-25,화풍,"광주광역시 동구 의재로 130 (운림동,(1,2층))","광주광역시 동구 운림동 640-1 (1,2층) ",062-223-5540,2020-09-18
일반음식점,일반음식점,2011-10-25,아이리시포테이토,"광주광역시 동구 중앙로160번길 16-7 (불로동,2층(202호, 203호))","광주광역시 동구 불로동 1-21 2층(202호, 203호) ",,2020-09-18
일반음식점,일반음식점,2011-11-08,박대감집,광주광역시 동구 필문대로287번길 15-4 (지산동),광주광역시 동구 지산동 510-9 ,062-224-1557,2020-09-18
일반음식점,일반음식점,2011-11-08,THE 솥,광주광역시 동구 서석로 40-6 (광산동),광주광역시 동구 광산동 79-8 ,,2020-09-18
일반음식점,일반음식점,2011-11-10,푸치니1,광주광역시 동구 무등로375번길 28-1 (계림동),광주광역시 동구 계림동 1111 ,,2020-09-18
일반음식점,일반음식점,2011-11-17,덕진식당,광주광역시 동구 의재로136번길 26-7 (운림동),광주광역시 동구 운림동 667-7 ,,2020-09-18
일반음식점,일반음식점,2011-11-23,안뜨레,"광주광역시 동구 남문로634번길 1-32 (소태동,(1층))",광주광역시 동구 소태동 532-115 (1층) ,,2020-09-18
일반음식점,일반음식점,2011-11-25,이치피,광주광역시 동구 필문대로287번길 23 (지산동),광주광역시 동구 지산동 507-23 (1층) ,062-222-9293,2020-09-18
일반음식점,일반음식점,2011-11-30,자연산회포장마차,광주광역시 동구 구성로 206 (대인동),광주광역시 동구 대인동 32-15 ,062-222-1578,2020-09-18
일반음식점,일반음식점,2011-12-02,커피하우스이웃,"광주광역시 동구 구성로 174-1 (금남로5가,(1층))",광주광역시 동구 금남로5가 123-6 (1층) ,,2020-09-18
일반음식점,일반음식점,2011-12-06,칸,광주광역시 동구 필문대로287번길 19-38 (지산동),광주광역시 동구 지산동 473-3 ,062-234-9759,2020-09-18
일반음식점,일반음식점,2011-12-07,피자가기가막혀,"광주광역시 동구 필문대로 182 (산수동,(1층))",광주광역시 동구 산수동 555-2 (1층) ,,2020-09-18
일반음식점,일반음식점,2011-12-09,승일식당,광주광역시 동구 문화전당로 14 (남동),광주광역시 동구 남동 100-4 ,062-232-2733,2020-09-18
일반음식점,일반음식점,2011-12-12,서인각,광주광역시 동구 밤실로 154 (산수동),광주광역시 동구 산수동 683 ,062-267-8122,2020-09-18
일반음식점,일반음식점,2011-12-21,거북이회관,광주광역시 동구 구성로152번길 5-4 (수기동),광주광역시 동구 수기동 54-1 ,062-223-5753,2020-09-18
일반음식점,일반음식점,2011-12-23,양동시장통닭&임실피자,"광주광역시 동구 경양로 353, 1,2,3층 (산수동)","광주광역시 동구 산수동 398-25 1,2,3층 ",,2020-09-18
일반음식점,일반음식점,2011-12-27,달구지소주코너,"광주광역시 동구 백서로 122 (학동,(1층))",광주광역시 동구 학동 142 (1층) ,,2020-09-18
일반음식점,일반음식점,2012-01-04,현옥국밥,광주광역시 동구 남문로 551 (용산동),광주광역시 동구 용산동 270-8 ,062-234-8298,2020-09-18
일반음식점,일반음식점,2012-01-05,맛집한겨례,광주광역시 동구 중앙로196번길 11 (궁동),광주광역시 동구 궁동 56-2 ,062-222-0132,2020-09-18
휴게음식점,휴게음식점,2012-01-13,리도다방,"광주광역시 동구 양림로 123, 지하1층 (학동)",광주광역시 동구 학동 63-13 지하1층 ,062-222-0917,2020-09-18
일반음식점,일반음식점,2012-01-16,지원곱창,"광주광역시 동구 학소로 92 (소태동,(1층))",광주광역시 동구 소태동 550-8 (1층) ,,2020-09-18
일반음식점,일반음식점,2012-01-27,야수,"광주광역시 동구 동명로20번길 17-6, 지하1층 (동명동)",광주광역시 동구 동명동 154-112 ,062-223-2885,2020-09-18
휴게음식점,휴게음식점,2012-01-30,심지유향,"광주광역시 동구 중앙로 149-2 (호남동,(1층))",광주광역시 동구 호남동 34-2 (1층) ,070-4227-8355,2020-09-18
일반음식점,일반음식점,2012-02-10,Yeah술,"광주광역시 동구 예술길15번길 4, 지하층 (궁동)",광주광역시 동구 궁동 34-5 ,062-222-0773,2020-09-18
휴게음식점,휴게음식점,2012-02-10,씨유 광주서석점,,광주광역시 동구 서석동 21 (1층) ,062-222-4167,2020-09-18
일반음식점,일반음식점,2012-02-22,가족,광주광역시 동구 동명로 50 (동명동),광주광역시 동구 동명동 159-15 ,062-222-3845,2020-09-18
일반음식점,일반음식점,2012-03-06,깻잎통닭2,"광주광역시 동구 필문대로287번길 23, 지하층 (지산동)",광주광역시 동구 지산동 507-23 (지하) ,,2020-09-18
일반음식점,일반음식점,2012-03-07,대풍,광주광역시 동구 동계천로 58 (대인동),광주광역시 동구 대인동 327-33 외1필지 ,,2020-09-18
일반음식점,일반음식점,2012-03-07,미소랑,"광주광역시 동구 제봉로82번길 13-3, 1층 (서석동)",광주광역시 동구 서석동 42-16 (1층) ,062-223-5005,2020-09-18
일반음식점,일반음식점,2012-03-08,진블루,"광주광역시 동구 동계로 18 (산수동,(1층))",광주광역시 동구 산수동 368-13 (1층) ,062-234-9983,2020-09-18
일반음식점,일반음식점,2012-03-19,옛날광주식당,광주광역시 동구 의재로 68 (학동),광주광역시 동구 학동 278-3 ,062-223-0768,2020-09-18
일반음식점,일반음식점,2012-03-23,덕산오징어보쌈,"광주광역시 동구 남문로622번길 20, 1층 (소태동)",광주광역시 동구 소태동 566-8 (1층) ,062-223-5868,2020-09-18
일반음식점,일반음식점,2012-03-28,오가헌,광주광역시 동구 구성로194번길 24 (1)층 (금남로4가),광주광역시 동구 금남로4가 42 (1층) ,,2020-09-18
일반음식점,일반음식점,2012-04-03,청원모밀1호점,광주광역시 동구 독립로264번길 4-1 (금남로5가),광주광역시 동구 금남로5가 1-29 1층 ,,2020-09-18
일반음식점,일반음식점,2012-04-05,나인,"광주광역시 동구 남문로 694-11, 2층 (학동)",광주광역시 동구 학동 873-27 2층 ,,2020-09-18
일반음식점,일반음식점,2012-04-13,박경애 해마루 닭코스 명가,광주광역시 동구 성촌길 25 (운림동),광주광역시 동구 운림동 378 ,062-228-8883,2020-09-18
일반음식점,일반음식점,2012-04-13,인천닭곰탕,"광주광역시 동구 동계천로 81-1, 1층 (동명동)",광주광역시 동구 동명동 238-8 (1층) ,,2020-09-18
일반음식점,일반음식점,2012-04-20,남도국밥,"광주광역시 동구 필문대로192번길 10, 1층 (산수동)",광주광역시 동구 산수동 557-7 ,062-224-4714,2020-09-18
일반음식점,일반음식점,2012-04-25,행복식당,"광주광역시 동구 제봉로17번길 7-3 (학동,(1층))",광주광역시 동구 학동 57-5 (1층) ,062-227-6581,2020-09-18
일반음식점,일반음식점,2012-04-25,해말금막창,광주광역시 동구 의재로 30 (1)층 (학동),광주광역시 동구 학동 734-12 (1층) ,,2020-09-18
일반음식점,일반음식점,2012-05-08,신영자의전성시대,광주광역시 동구 밤실로 68 (산수동),광주광역시 동구 산수동 24-17 ,062-228-9984,2020-09-18
일반음식점,일반음식점,2012-05-15,칼국수카페엄마랑,광주광역시 동구 서석로 지하 56 (금남로1가),광주광역시 동구 금남로1가 12-7 (금남지하상가) ,062-234-4447,2020-09-18
일반음식점,일반음식점,2012-05-16,은성,"광주광역시 동구 충장로안길 40-1 (황금동,(1층))",광주광역시 동구 황금동 74-6 (1층) ,062-227-9642,2020-09-18
일반음식점,일반음식점,2012-05-16,커피예담,"광주광역시 동구 금남로 148, 1층 (금남로5가)",광주광역시 동구 금남로5가 55-1 (1층) ,,2020-09-18
휴게음식점,휴게음식점,2012-05-18,꿀나라닭강정,"광주광역시 동구 서남로 23 (서석동,(1층))",광주광역시 동구 서석동 25-17 (1층) ,062-222-1225,2020-09-18
일반음식점,일반음식점,2012-05-22,봉자순대국밥,"광주광역시 동구 의재로 25 (학동,(1층))",광주광역시 동구 학동 736-7 (1층) ,062-222-0669,2020-09-18
일반음식점,일반음식점,2012-05-30,본가,"광주광역시 동구 무등로307번길 20 (계림동,(1층))",광주광역시 동구 계림동 550-2 (1층) ,062-266-8280,2020-09-18
일반음식점,일반음식점,2012-06-05,피자마루,"광주광역시 동구 중앙로 358 (계림동,상가동 150호)",광주광역시 동구 계림동 100-11 상가동 150호 ,062-9744-2150,2020-09-18
일반음식점,일반음식점,2012-06-19,이화점,"광주광역시 동구 동계천로 46-2, 1층 (대인동)",광주광역시 동구 대인동 327-9 (1층) ,,2020-09-18
일반음식점,일반음식점,2012-06-29,산수골,"광주광역시 동구 경양로 340 (산수동,(1층))",광주광역시 동구 산수동 361-1 (1층) ,062-223-3318,2020-09-18
휴게음식점,휴게음식점,2012-07-02,씨유 서석그랜드점,"광주광역시 동구 백서로 177 (서석동,(1층))",광주광역시 동구 서석동 24-9 (1층) ,062-266-8987,2020-09-18
일반음식점,일반음식점,2012-07-11,혜성,"광주광역시 동구 독립로264번길 27-2 (대인동,(1층))",광주광역시 동구 대인동 27-17 (1층) ,,2020-09-18
일반음식점,일반음식점,2012-07-13,남가정,광주광역시 동구 지호로 137-7 (지산동),광주광역시 동구 지산동 75-1 ,062-234-8006,2020-09-18
일반음식점,일반음식점,2012-07-13,송촌꼬마김밥,"광주광역시 동구 무등로 478, 1층 (산수동)",광주광역시 동구 산수동 522-4 ,062-236-0202,2020-09-18
일반음식점,일반음식점,2012-07-20,벼락,"광주광역시 동구 필문대로287번길 29-3 (지산동,(1,2층))","광주광역시 동구 지산동 507-16 (1,2층) ",062-222-3177,2020-09-18
일반음식점,일반음식점,2012-07-23,고수왕족발보쌈,"광주광역시 동구 필문대로206번길 6-5, 1층 (산수동)",광주광역시 동구 산수동 558-23 1층 ,062-527-3317,2020-09-18
일반음식점,일반음식점,2012-07-24,신락원,광주광역시 동구 충장로 45-5 (충장로5가),광주광역시 동구 충장로5가 42 ,062-363-6849,2020-09-18
일반음식점,일반음식점,2012-07-24,신락원,"광주광역시 동구 충장로 45-9, 외3필지 2층 (충장로5가)",광주광역시 동구 충장로5가 43 외 3필지 2층 ,062-225-9408,2020-09-18
일반음식점,일반음식점,2012-07-24,신락원,"광주광역시 동구 충장로 45-9, 외 3필지 3층 (충장로5가)",광주광역시 동구 충장로5가 43 외 3필지 3층 ,062-225-9408,2020-09-18
일반음식점,일반음식점,2012-07-24,신락원,"광주광역시 동구 충장로 45-9, 4층 (충장로5가)",광주광역시 동구 충장로5가 43 외3필지(4층) ,062-224-1292,2020-09-18
일반음식점,일반음식점,2012-07-26,남도식당,"광주광역시 동구 중앙로 283-1, 4층 (계림동)",광주광역시 동구 계림동 284-33 (4층) ,062-223-7715,2020-09-18
일반음식점,일반음식점,2012-08-10,오리농장,광주광역시 동구 필문대로187번길 19-24 (1)층 (산수동),광주광역시 동구 산수동 510-16 (1층) ,062-225-9539,2020-09-18
일반음식점,일반음식점,2012-08-27,풍경소리,광주광역시 동구 동산길7번길 5-7 (1)층 (운림동),광주광역시 동구 운림동 471 (1층) ,,2020-09-18
일반음식점,일반음식점,2012-09-04,혜인,"광주광역시 동구 동계로15번길 16 (산수동,(1층))",광주광역시 동구 산수동 495-21 (1층) ,062-224-6134,2020-09-18
일반음식점,일반음식점,2012-09-05,보리밥 뷔페,"광주광역시 동구 제봉로17번길 9-1 (학동,(1층))",광주광역시 동구 학동 55-110 (1층) ,062-232-2303,2020-09-18
일반음식점,일반음식점,2012-09-05,광주,"광주광역시 동구 제봉로222번길 6-12, 1층 (대인동)",광주광역시 동구 대인동 324-24 1층 ,,2020-09-18
일반음식점,일반음식점,2012-09-17,산들채숯불갈비,"광주광역시 동구 의재로 88 (소태동,(1층))",광주광역시 동구 소태동 722-60 (1층) ,062-234-1914,2020-09-18
일반음식점,일반음식점,2012-09-24,삼호식당,"광주광역시 동구 중앙로 249-6 (계림동,(1층))",광주광역시 동구 계림동 377-2 (1층) ,,2020-09-18
일반음식점,일반음식점,2012-09-24,해남식당,광주광역시 동구 중앙로 149-5 (1)층 (호남동),광주광역시 동구 호남동 32-15 (1층) ,,2020-09-18
일반음식점,일반음식점,2012-09-24,올드&뉴,"광주광역시 동구 소태길 3, 1층 (소태동)",광주광역시 동구 소태동 675-4 (1층) ,,2020-09-18
일반음식점,일반음식점,2012-09-26,섬마을,"광주광역시 동구 동계천로 68 (대인동,계림동 515-5)",광주광역시 동구 대인동 198-12 계림동 515-5 ,062-224-5070,2020-09-18
휴게음식점,휴게음식점,2012-09-26,엔제리너스학동점,"광주광역시 동구 남문로 686, 1층 (학동)",광주광역시 동구 학동 750 (1층) ,,2020-09-18
일반음식점,일반음식점,2012-10-05,영숙이소주방,광주광역시 동구 무등로 483-4 (산수동),광주광역시 동구 산수동 526-58 ,,2020-09-18
일반음식점,일반음식점,2012-10-10,남광통닭,"광주광역시 동구 학동안길 27 (학동,(1층))",광주광역시 동구 학동 637-62 (1층) ,,2020-09-18
일반음식점,일반음식점,2012-11-09,우리푸드시스템,"광주광역시 동구 금남로 181 (금남로5가,(1층))",광주광역시 동구 금남로5가 152 (1층) ,062-433-8344,2020-09-18
일반음식점,일반음식점,2012-11-15,산수원,광주광역시 동구 동명로67번길 32-9 (1)층 (산수동),광주광역시 동구 산수동 361-3 (1층) ,,2020-09-18
휴게음식점,휴게음식점,2012-11-15,남선,"광주광역시 동구 금남로 181 (금남로5가,(지하))",광주광역시 동구 금남로5가 152 (지하) ,062-224-6500,2020-09-18
휴게음식점,휴게음식점,2012-11-16,커피콩,"광주광역시 동구 제봉로82번길 15 (서석동,(1층))",광주광역시 동구 서석동 42-9 (1층) ,,2020-09-18
휴게음식점,휴게음식점,2012-11-26,마을찻집,광주광역시 동구 중흥로209번길 18 (계림동),광주광역시 동구 계림동 561-10 1층 ,,2020-09-18
일반음식점,일반음식점,2012-11-27,시우,광주광역시 동구 예술길 27-5 (1)층 (궁동),광주광역시 동구 궁동 38-5 (1층) ,062-234-6563,2020-09-18
일반음식점,일반음식점,2012-11-30,별미해장국,"광주광역시 동구 양림로 127 (학동,(1층))",광주광역시 동구 학동 65-10 (1층) ,,2020-09-18
휴게음식점,휴게음식점,2012-11-30,플라워앤카페,"광주광역시 동구 천변우로 361-1, 1층 (수기동)",광주광역시 동구 수기동 106-4 (1층) ,062-2235-392,2020-09-18
휴게음식점,휴게음식점,2012-12-03,미니스톱전대의대점,"광주광역시 동구 백서로 153 (남동,(1층))",광주광역시 동구 남동 69 (1층) ,062-513-5602,2020-09-18
일반음식점,일반음식점,2012-12-11,웜그레이(백퍼),"광주광역시 동구 문화전당로35번길 16-4, 7층 (광산동)",광주광역시 동구 광산동 100-21 (7층) ,,2020-09-18
일반음식점,일반음식점,2012-12-12,수목식당,"광주광역시 동구 경양로243번길 14-2 (계림동,(1층))",광주광역시 동구 계림동 291-9 (1층) ,062-222-0334,2020-09-18
일반음식점,일반음식점,2012-12-13,돈.소랑,"광주광역시 동구 무등로375번길 19-2 (계림동,(1층))",광주광역시 동구 계림동 116-1 (1층) ,,2020-09-18
일반음식점,일반음식점,2012-12-13,제이.스미스,"광주광역시 동구 구성로 167, 1층 (충장로5가)",광주광역시 동구 충장로5가 22-5 (1층) ,062-471-0208,2020-09-18
일반음식점,일반음식점,2012-12-18,진성퓨전포차,"광주광역시 동구 구성로238번길 3, 1층 (계림동)",광주광역시 동구 계림동 465-12 ,,2020-09-18
일반음식점,일반음식점,2012-12-20,영광식당,광주광역시 동구 동계천로 57 (1)층 (대인동),광주광역시 동구 대인동 307-2 (1층) 나동 7호,,2020-09-18
일반음식점,일반음식점,2012-12-21,플라잉독,"광주광역시 동구 충장로안길 24-6 (황금동,(1층))",광주광역시 동구 황금동 27 (1층) ,062-232-9191,2020-09-18
일반음식점,일반음식점,2012-12-21,성심회타운,"광주광역시 동구 양림로119번길 3 (학동,(1층))",광주광역시 동구 학동 74-8 (1층) ,,2020-09-18
일반음식점,일반음식점,2012-12-21,카페에쏠로지 법원점,"광주광역시 동구 지산로 92, 1층 (지산동)",광주광역시 동구 지산동 342-35 ,,2020-09-18
일반음식점,일반음식점,2012-12-26,카페쎔데이,"광주광역시 동구 동명로69번길 20, 1층 101호 (지산동, 휴먼시아상가)",광주광역시 동구 지산동 671 휴먼시아상가 101호,,2020-09-18
일반음식점,일반음식점,2013-01-08,사랑방호프소주방,"광주광역시 동구 경양로 219, 1층 (계림동)",광주광역시 동구 계림동 589-10 (1층) ,062-227-8380,2020-09-18
일반음식점,일반음식점,2013-01-08,엄마의식탁,"광주광역시 동구 백서로167번길 4 (서석동,(1층))",광주광역시 동구 서석동 97-38 (1층) ,,2020-09-18
일반음식점,일반음식점,2013-01-09,세렌딥카페,"광주광역시 동구 필문대로 289, 1층 (서석동)",광주광역시 동구 서석동 427-9 (1층) ,,2020-09-18
일반음식점,일반음식점,2013-01-10,꼬지사랑,"광주광역시 동구 남문로 552 (소태동,(1층))",광주광역시 동구 소태동 688-7 (1층) ,062-234-9406,2020-09-18
일반음식점,일반음식점,2013-01-10,서울김밥,"광주광역시 동구 남문로 554, 1층 (소태동)",광주광역시 동구 소태동 688-6 ,,2020-09-18
일반음식점,일반음식점,2013-01-11,뚱땡이,"광주광역시 동구 문화전당로35번길 7, 1층 (광산동)",광주광역시 동구 광산동 59-1 (1층) ,062-227-1986,2020-09-18
일반음식점,일반음식점,2013-01-11,매운불닭발과족발,광주광역시 동구 천변우로 361-5 (1)층 (수기동),광주광역시 동구 수기동 106-1 (1층) ,062-226-0787,2020-09-18
일반음식점,일반음식점,2013-01-16,그랜드베어,광주광역시 동구 중앙로160번길 31-31 (1)층 (황금동),광주광역시 동구 황금동 48-2 (1층) ,,2020-09-18
일반음식점,일반음식점,2013-01-21,투싼,"광주광역시 동구 의재로 49 (학동,(1층))",광주광역시 동구 학동 720-5 (1층) ,,2020-09-18
일반음식점,일반음식점,2013-01-23,참숫갈비마을,광주광역시 동구 의재로 47 (학동),광주광역시 동구 학동 720-14 ,062-224-8282,2020-09-18
휴게음식점,휴게음식점,2013-01-31,씨유 광주충장로점,"광주광역시 동구 충장로 93-5 (금남로2가,(1층))",광주광역시 동구 금남로2가 35 (1층) ,062-227-5009,2020-09-18
일반음식점,일반음식점,2013-02-01,테라스드스파이시,"광주광역시 동구 중앙로160번길 23-3, 1층 (황금동)",광주광역시 동구 황금동 21 ,,2020-09-18
일반음식점,일반음식점,2013-02-15,서가앤쿡,"광주광역시 동구 충장로 80-16 (2,3)층 (충장로3가)","광주광역시 동구 충장로3가 41 (2,3층) ",062-222-8221,2020-09-18
일반음식점,일반음식점,2013-02-15,반도대하루,"광주광역시 동구 구성로194번길 2, 1층 (금남로5가)",광주광역시 동구 금남로5가 186 (지상1층) ,062-224-2330,2020-09-18
